,date,gov_response,containment_and_health,stringency,economics_sup,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
77,2020-06-06,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2020-06-07,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
79,2020-06-08,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
80,2020-06-09,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
81,2020-06-10,0.0,0.0,0.0,0.0,41.0,2.0,0.0,0.0,0.0,0.0,0.0
82,2020-06-11,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
83,2020-06-12,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
84,2020-06-13,0.0,0.0,0.0,0.0,65.0,24.0,0.0,0.0,0.0,0.0,0.0
85,2020-06-14,0.0,0.0,0.0,0.0,96.0,31.0,0.0,0.0,0.0,0.0,0.0
86,2020-06-15,0.0,0.0,0.0,0.0,109.0,13.0,0.0,0.0,0.0,0.0,0.0
87,2020-06-16,0.0,0.0,0.0,0.0,121.0,12.0,0.0,0.0,0.0,0.0,0.0
88,2020-06-17,0.0,0.0,0.0,0.0,131.0,10.0,0.0,0.0,0.0,0.0,0.0
89,2020-06-18,0.0,0.0,0.0,0.0,142.0,11.0,0.0,0.0,0.0,0.0,0.0
90,2020-06-19,0.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0
91,2020-06-20,0.0,0.0,0.0,0.0,143.0,1.0,0.0,0.0,0.0,0.0,0.0
92,2020-06-21,0.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0
93,2020-06-22,0.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0
94,2020-06-23,0.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0
95,2020-06-24,0.0,0.0,0.0,0.0,144.0,1.0,0.0,0.0,0.0,0.0,0.0
96,2020-06-25,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0
97,2020-06-26,0.0,0.0,0.0,0.0,167.0,23.0,0.0,0.0,0.0,0.0,0.0
98,2020-06-27,0.0,0.0,0.0,0.0,191.0,24.0,0.0,0.0,0.0,0.0,0.0
99,2020-06-28,0.0,0.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0
100,2020-06-29,0.0,0.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0
101,2020-06-30,0.0,0.0,0.0,0.0,203.0,12.0,0.0,0.0,0.0,0.0,0.0
102,2020-07-01,0.0,0.0,0.0,0.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0
103,2020-07-02,0.0,0.0,0.0,0.0,215.0,12.0,0.0,0.0,0.0,0.0,0.0
104,2020-07-03,0.0,0.0,0.0,0.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
105,2020-07-04,0.0,0.0,0.0,0.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
106,2020-07-05,0.0,0.0,0.0,0.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
107,2020-07-06,0.0,0.0,0.0,0.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
108,2020-07-07,0.0,0.0,0.0,0.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
109,2020-07-08,0.0,0.0,0.0,0.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
110,2020-07-09,0.0,0.0,0.0,0.0,232.0,17.0,0.0,0.0,0.0,0.0,0.0
111,2020-07-10,0.0,0.0,0.0,0.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0
112,2020-07-11,0.0,0.0,0.0,0.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0
113,2020-07-12,0.0,0.0,0.0,0.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0
114,2020-07-13,0.0,0.0,0.0,0.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0
115,2020-07-14,0.0,0.0,0.0,0.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0
116,2020-07-15,0.0,0.0,0.0,0.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0
117,2020-07-16,0.0,0.0,0.0,0.0,251.0,19.0,0.0,0.0,0.0,0.0,0.0
118,2020-07-17,0.0,0.0,0.0,0.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0
119,2020-07-18,0.0,0.0,0.0,0.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0
120,2020-07-19,0.0,0.0,0.0,0.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0
121,2020-07-20,0.0,0.0,0.0,0.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0
122,2020-07-21,0.0,0.0,0.0,0.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0
123,2020-07-22,0.0,0.0,0.0,0.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0
124,2020-07-23,0.0,0.0,0.0,0.0,261.0,10.0,0.0,0.0,0.0,0.0,0.0
125,2020-07-24,0.0,0.0,0.0,0.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0
126,2020-07-25,0.0,0.0,0.0,0.0,263.0,2.0,0.0,0.0,0.0,0.0,0.0
127,2020-07-26,0.0,0.0,0.0,0.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0
128,2020-07-27,0.0,0.0,0.0,0.0,265.0,2.0,0.0,0.0,0.0,0.0,0.0
129,2020-07-28,0.0,0.0,0.0,0.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0
130,2020-07-29,0.0,0.0,0.0,0.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0
131,2020-07-30,0.0,0.0,0.0,0.0,279.0,14.0,0.0,0.0,0.0,0.0,0.0
132,2020-07-31,0.0,0.0,0.0,0.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0
133,2020-08-01,0.0,0.0,0.0,0.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0
134,2020-08-02,0.0,0.0,0.0,0.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0
135,2020-08-03,0.0,0.0,0.0,0.0,282.0,3.0,0.0,0.0,0.0,0.0,0.0
136,2020-08-04,0.0,0.0,0.0,0.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0
137,2020-08-05,0.0,0.0,0.0,0.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0
138,2020-08-06,0.0,0.0,0.0,0.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0
139,2020-08-07,0.0,0.0,0.0,0.0,285.0,3.0,0.0,0.0,0.0,0.0,0.0
140,2020-08-08,0.0,0.0,0.0,0.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0
141,2020-08-09,0.0,0.0,0.0,0.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0
142,2020-08-10,0.0,0.0,0.0,0.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0
143,2020-08-11,0.0,0.0,0.0,0.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0
144,2020-08-12,0.0,0.0,0.0,0.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0
145,2020-08-13,0.0,0.0,0.0,0.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0
146,2020-08-14,0.0,0.0,0.0,0.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0
147,2020-08-15,0.0,0.0,0.0,0.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0
148,2020-08-16,0.0,0.0,0.0,0.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0
149,2020-08-17,0.0,0.0,0.0,0.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0
150,2020-08-18,0.0,0.0,0.0,0.0,304.0,19.0,0.0,0.0,0.0,0.0,0.0
151,2020-08-19,0.0,0.0,0.0,0.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0
152,2020-08-20,0.0,0.0,0.0,0.0,306.0,2.0,0.0,0.0,0.0,0.0,0.0
153,2020-08-21,0.0,0.0,0.0,0.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0
154,2020-08-22,0.0,0.0,0.0,0.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0
155,2020-08-23,0.0,0.0,0.0,0.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0
156,2020-08-24,0.0,0.0,0.0,0.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0
157,2020-08-25,0.0,0.0,0.0,0.0,315.0,9.0,0.0,0.0,0.0,0.0,0.0
158,2020-08-26,0.0,0.0,0.0,0.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0
159,2020-08-27,0.0,0.0,0.0,0.0,317.0,2.0,0.0,0.0,0.0,0.0,0.0
160,2020-08-28,0.0,0.0,0.0,0.0,317.0,0.0,0.0,0.0,0.0,0.0,0.0
161,2020-08-29,0.0,0.0,0.0,0.0,318.0,1.0,0.0,0.0,0.0,0.0,0.0
162,2020-08-30,0.0,0.0,0.0,0.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0
163,2020-08-31,0.0,0.0,0.0,0.0,319.0,1.0,0.0,0.0,0.0,0.0,0.0
164,2020-09-01,0.0,0.0,0.0,0.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0
165,2020-09-02,0.0,0.0,0.0,0.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0
166,2020-09-03,0.0,0.0,0.0,0.0,330.0,11.0,0.0,0.0,0.0,0.0,0.0
167,2020-09-04,0.0,0.0,0.0,0.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0
168,2020-09-05,0.0,0.0,0.0,0.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0
169,2020-09-06,0.0,0.0,0.0,0.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0
170,2020-09-07,0.0,0.0,0.0,0.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0
171,2020-09-08,0.0,0.0,0.0,0.0,341.0,11.0,0.0,0.0,0.0,0.0,0.0
172,2020-09-09,0.0,0.0,0.0,0.0,341.0,0.0,0.0,0.0,0.0,0.0,0.0
173,2020-09-10,0.0,0.0,0.0,0.0,361.0,20.0,0.0,0.0,0.0,0.0,0.0
174,2020-09-11,0.0,0.0,0.0,0.0,361.0,0.0,0.0,0.0,0.0,0.0,0.0
175,2020-09-12,0.0,0.0,0.0,0.0,361.0,0.0,0.0,0.0,0.0,0.0,0.0
176,2020-09-13,0.0,0.0,0.0,0.0,361.0,0.0,0.0,0.0,0.0,0.0,0.0
177,2020-09-14,0.0,0.0,0.0,0.0,361.0,0.0,0.0,0.0,0.0,0.0,0.0
178,2020-09-15,0.0,0.0,0.0,0.0,364.0,3.0,0.0,0.0,0.0,0.0,0.0
179,2020-09-16,0.0,0.0,0.0,0.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0
180,2020-09-17,0.0,0.0,0.0,0.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0
181,2020-09-18,0.0,0.0,0.0,0.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0
182,2020-09-19,0.0,0.0,0.0,0.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0
183,2020-09-20,0.0,0.0,0.0,0.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0
184,2020-09-21,0.0,0.0,0.0,0.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0
185,2020-09-22,0.0,0.0,0.0,0.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0
186,2020-09-23,0.0,0.0,0.0,0.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0
187,2020-09-24,0.0,0.0,0.0,0.0,369.0,5.0,0.0,0.0,0.0,0.0,0.0
188,2020-09-25,0.0,0.0,0.0,0.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0
189,2020-09-26,0.0,0.0,0.0,0.0,375.0,6.0,0.0,0.0,0.0,0.0,0.0
190,2020-09-27,0.0,0.0,0.0,0.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0
191,2020-09-28,0.0,0.0,0.0,0.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0
192,2020-09-29,0.0,0.0,0.0,0.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0
193,2020-09-30,0.0,0.0,0.0,0.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0
194,2020-10-01,0.0,0.0,0.0,0.0,381.0,6.0,0.0,0.0,0.0,0.0,0.0
195,2020-10-02,0.0,0.0,0.0,0.0,381.0,0.0,0.0,0.0,0.0,0.0,0.0
196,2020-10-03,0.0,0.0,0.0,0.0,398.0,17.0,0.0,0.0,0.0,0.0,0.0
197,2020-10-04,0.0,0.0,0.0,0.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0
198,2020-10-05,0.0,0.0,0.0,0.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0
199,2020-10-06,0.0,0.0,0.0,0.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0
200,2020-10-07,0.0,0.0,0.0,0.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0
201,2020-10-08,0.0,0.0,0.0,0.0,405.0,7.0,0.0,0.0,0.0,0.0,0.0
202,2020-10-09,0.0,0.0,0.0,0.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0
203,2020-10-10,0.0,0.0,0.0,0.0,414.0,9.0,0.0,0.0,0.0,0.0,0.0
204,2020-10-11,0.0,0.0,0.0,0.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0
205,2020-10-12,0.0,0.0,0.0,0.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0
206,2020-10-13,0.0,0.0,0.0,0.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0
207,2020-10-14,0.0,0.0,0.0,0.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0
208,2020-10-15,0.0,0.0,0.0,0.0,422.0,8.0,0.0,0.0,0.0,0.0,0.0
209,2020-10-16,0.0,0.0,0.0,0.0,422.0,0.0,0.0,0.0,0.0,0.0,0.0
210,2020-10-17,0.0,0.0,0.0,0.0,452.0,30.0,0.0,0.0,0.0,0.0,0.0
211,2020-10-18,0.0,0.0,0.0,0.0,452.0,0.0,0.0,0.0,0.0,0.0,0.0
212,2020-10-19,0.0,0.0,0.0,0.0,452.0,0.0,0.0,0.0,0.0,0.0,0.0
213,2020-10-20,0.0,0.0,0.0,0.0,452.0,0.0,0.0,0.0,0.0,0.0,0.0
214,2020-10-21,0.0,0.0,0.0,0.0,452.0,0.0,0.0,0.0,0.0,0.0,0.0
215,2020-10-22,0.0,0.0,0.0,0.0,457.0,5.0,0.0,0.0,0.0,0.0,0.0
216,2020-10-23,0.0,0.0,0.0,0.0,461.0,4.0,0.0,0.0,0.0,0.0,0.0
217,2020-10-24,0.0,0.0,0.0,0.0,461.0,0.0,0.0,0.0,0.0,0.0,0.0
218,2020-10-25,0.0,0.0,0.0,0.0,461.0,0.0,0.0,0.0,0.0,0.0,0.0
219,2020-10-26,0.0,0.0,0.0,0.0,461.0,0.0,0.0,0.0,0.0,0.0,0.0
220,2020-10-27,0.0,0.0,0.0,0.0,461.0,0.0,0.0,0.0,0.0,0.0,0.0
221,2020-10-28,0.0,0.0,0.0,0.0,461.0,0.0,0.0,0.0,0.0,0.0,0.0
222,2020-10-29,0.0,0.0,0.0,0.0,461.0,0.0,0.0,0.0,0.0,0.0,0.0
223,2020-10-30,0.0,0.0,0.0,0.0,463.0,2.0,0.0,0.0,0.0,0.0,0.0
224,2020-10-31,0.0,0.0,0.0,0.0,463.0,0.0,0.0,0.0,0.0,0.0,0.0
225,2020-11-01,0.0,0.0,0.0,0.0,463.0,0.0,0.0,0.0,0.0,0.0,0.0
226,2020-11-02,0.0,0.0,0.0,0.0,480.0,17.0,0.0,0.0,0.0,0.0,0.0
227,2020-11-03,0.0,0.0,0.0,0.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0
228,2020-11-04,0.0,0.0,0.0,0.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0
229,2020-11-05,0.0,0.0,0.0,0.0,484.0,4.0,0.0,0.0,0.0,0.0,0.0
230,2020-11-06,0.0,0.0,0.0,0.0,484.0,0.0,0.0,0.0,0.0,0.0,0.0
231,2020-11-07,0.0,0.0,0.0,0.0,491.0,7.0,0.0,0.0,0.0,0.0,0.0
232,2020-11-08,0.0,0.0,0.0,0.0,491.0,0.0,0.0,0.0,0.0,0.0,0.0
233,2020-11-09,0.0,0.0,0.0,0.0,491.0,0.0,0.0,0.0,0.0,0.0,0.0
234,2020-11-10,0.0,0.0,0.0,0.0,491.0,0.0,0.0,0.0,0.0,0.0,0.0
235,2020-11-11,0.0,0.0,0.0,0.0,491.0,0.0,0.0,0.0,0.0,0.0,0.0
236,2020-11-12,0.0,0.0,0.0,0.0,493.0,2.0,0.0,0.0,0.0,0.0,0.0
237,2020-11-13,0.0,0.0,0.0,0.0,493.0,0.0,0.0,0.0,0.0,0.0,0.0
238,2020-11-14,0.0,0.0,0.0,0.0,493.0,0.0,0.0,0.0,0.0,0.0,0.0
239,2020-11-15,0.0,0.0,0.0,0.0,493.0,0.0,0.0,0.0,0.0,0.0,0.0
240,2020-11-16,0.0,0.0,0.0,0.0,518.0,25.0,0.0,0.0,0.0,0.0,0.0
241,2020-11-17,0.0,0.0,0.0,0.0,518.0,0.0,0.0,0.0,0.0,0.0,0.0
242,2020-11-18,0.0,0.0,0.0,0.0,518.0,0.0,0.0,0.0,0.0,0.0,0.0
243,2020-11-19,0.0,0.0,0.0,0.0,527.0,9.0,0.0,0.0,0.0,0.0,0.0
244,2020-11-20,0.0,0.0,0.0,0.0,527.0,0.0,0.0,0.0,0.0,0.0,0.0
245,2020-11-21,0.0,0.0,0.0,0.0,551.0,24.0,0.0,0.0,0.0,0.0,0.0
246,2020-11-22,0.0,0.0,0.0,0.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0
247,2020-11-23,0.0,0.0,0.0,0.0,558.0,7.0,0.0,0.0,0.0,0.0,0.0
248,2020-11-24,0.0,0.0,0.0,0.0,558.0,0.0,0.0,0.0,0.0,0.0,0.0
249,2020-11-25,0.0,0.0,0.0,0.0,558.0,0.0,0.0,0.0,0.0,0.0,0.0
250,2020-11-26,0.0,0.0,0.0,0.0,566.0,8.0,0.0,0.0,0.0,0.0,0.0
251,2020-11-27,0.0,0.0,0.0,0.0,566.0,0.0,0.0,0.0,0.0,0.0,0.0
252,2020-11-28,0.0,0.0,0.0,0.0,577.0,11.0,0.0,0.0,0.0,0.0,0.0
253,2020-11-29,0.0,0.0,0.0,0.0,577.0,0.0,0.0,0.0,0.0,0.0,0.0
254,2020-11-30,0.0,0.0,0.0,0.0,577.0,0.0,0.0,0.0,0.0,0.0,0.0
255,2020-12-01,0.0,0.0,0.0,0.0,577.0,0.0,0.0,0.0,0.0,0.0,0.0
256,2020-12-02,0.0,0.0,0.0,0.0,577.0,0.0,0.0,0.0,0.0,0.0,0.0
257,2020-12-03,0.0,0.0,0.0,0.0,594.0,17.0,0.0,0.0,0.0,0.0,0.0
258,2020-12-04,0.0,0.0,0.0,0.0,632.0,38.0,0.0,0.0,0.0,0.0,0.0
259,2020-12-05,0.0,0.0,0.0,0.0,632.0,0.0,0.0,0.0,0.0,0.0,0.0
